10/17 05:51:00.441|EXEC_START  |
10/17 05:51:00.442|SCRIPT_START|SCRIPT=main, PROJECT=【データ連携HUB】WE0203_サポートサービス等応対情報取込, REPOSITORY=/home/z098847/projects/【データ連携HUB】WE0203_サポートサービス等応対情報取込, VERSION=73
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0203
--/-- --:--:--.---|VARIABLE    |NAME=レコードNo, VALUE=200
10/17 05:51:00.442|TRY_START   |NAME=try_catch
10/17 05:51:00.442|START       |NAME=AP設定取得 
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=サポートサービス等応対情報取込
--/-- --:--:--.---|INFO        |機能名(String) 入力=[サポートサービス等応対情報取込]
--/-- --:--:--.---|VARIABLE    |NAME=実行スクリプト名, VALUE=
--/-- --:--:--.---|INFO        |実行スクリプト名(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=AP設定取得エラー, VALUE=true
--/-- --:--:--.---|INFO        |AP設定取得エラー(boolean) 入力=[true]
--/-- --:--:--.---|VARIABLE    |NAME=実行日時, VALUE=1729111860449
--/-- --:--:--.---|INFO        |実行日時(Date) 入力=[2024-10-17T05:51:00.449+0900]
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットIN, VALUE=bm-s3-datahub-if-prod
--/-- --:--:--.---|INFO        |S3バケットIN(String) 入力=[bm-s3-datahub-if-prod]
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダIN, VALUE=/WE0203
--/-- --:--:--.---|INFO        |S3フォルダIN(String) 入力=[/WE0203]
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットOUT, VALUE=bm-s3-datahub-save-prod
--/-- --:--:--.---|INFO        |S3バケットOUT(String) 入力=[bm-s3-datahub-save-prod]
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダOUT, VALUE=/
--/-- --:--:--.---|INFO        |S3フォルダOUT(String) 入力=[/]
--/-- --:--:--.---|VARIABLE    |NAME=DSCフォルダ, VALUE=/data/MERGE/app/data/WE0203200
--/-- --:--:--.---|INFO        |DSCフォルダ(String) 入力=[/data/MERGE/app/data/WE0203200]
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0203200/BACKUP
--/-- --:--:--.---|INFO        |バックアップフォルダパス(String) 入力=[/data/MERGE/app/data/WE0203200/BACKUP]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0203200/ERROR
--/-- --:--:--.---|INFO        |エラーフォルダパス(String) 入力=[/data/MERGE/app/data/WE0203200/ERROR]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名称（フィルター）1, VALUE=031-000*
--/-- --:--:--.---|INFO        |ファイル名称（フィルター）1(String) 入力=[031-000*]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名称（フィルター）2, VALUE=
--/-- --:--:--.---|INFO        |ファイル名称（フィルター）2(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=運用日付判定(時), VALUE=21
--/-- --:--:--.---|INFO        |運用日付判定(時)(String) 入力=[21]
--/-- --:--:--.---|VARIABLE    |NAME=運用日付判定(分), VALUE=30
--/-- --:--:--.---|INFO        |運用日付判定(分)(String) 入力=[30]
--/-- --:--:--.---|VARIABLE    |NAME=予備１（作業用フォルダ）, VALUE=/data/MERGE/app/data/WE0203000/work/0101
--/-- --:--:--.---|INFO        |予備１（作業用フォルダ）(String) 入力=[/data/MERGE/app/data/WE0203000/work/0101]
--/-- --:--:--.---|VARIABLE    |NAME=予備２（サービス名）, VALUE=オフィスまるごとサポート（ITサポート）／SO含む
--/-- --:--:--.---|INFO        |予備２（サービス名）(String) 入力=[オフィスまるごとサポート（ITサポート）／SO含む]
--/-- --:--:--.---|VARIABLE    |NAME=予備３, VALUE=
--/-- --:--:--.---|INFO        |予備３(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備４, VALUE=
--/-- --:--:--.---|INFO        |予備４(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備５, VALUE=
--/-- --:--:--.---|INFO        |予備５(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備６, VALUE=
--/-- --:--:--.---|INFO        |予備６(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備７, VALUE=
--/-- --:--:--.---|INFO        |予備７(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備８, VALUE=
--/-- --:--:--.---|INFO        |予備８(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備９, VALUE=
--/-- --:--:--.---|INFO        |予備９(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備１０, VALUE=
--/-- --:--:--.---|INFO        |予備１０(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダ, VALUE=20241017055100_ha0000mvvv000980e41i96psp55o_WE0203
--/-- --:--:--.---|INFO        |処理フォルダ(String) 入力=[20241017055100_ha0000mvvv000980e41i96psp55o_WE0203]
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダ名, VALUE=20241017055100_ha0000mvvv000980e41i96psp55o_backup
--/-- --:--:--.---|INFO        |バックアップフォルダ名(String) 入力=[20241017055100_ha0000mvvv000980e41i96psp55o_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダ名, VALUE=20241017055100_ha0000mvvv000980e41i96psp55o_error
--/-- --:--:--.---|INFO        |エラーフォルダ名(String) 入力=[20241017055100_ha0000mvvv000980e41i96psp55o_error]
10/17 05:51:00.480|END         |
10/17 05:51:00.480|BRANCH_START|NAME=if_1
--/-- --:--:--.---|EVALUATION  |NAME=AP設定エラー, RESULT=false
10/17 05:51:00.480|BRANCH_END  |
