10/16 23:35:00.081|EXEC_START  |
10/16 23:35:00.082|SCRIPT_START|SCRIPT=main, PROJECT=【データ連携HUB】WE0301_実行プロジェクト作成, REPOSITORY=/home/z098330/projects/【データ連携HUB】WE0301_実行プロジェクト作成, VERSION=67
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0301
--/-- --:--:--.---|VARIABLE    |NAME=レコードNo, VALUE=100
10/16 23:35:00.082|TRY_START   |NAME=try_catch
10/16 23:35:00.082|START       |NAME=AP設定取得 
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダ, VALUE=20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301
--/-- --:--:--.---|INFO        |処理フォルダ(String) 入力=[20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301]
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=実行プロジェクト作成
--/-- --:--:--.---|INFO        |機能名(String) 入力=[実行プロジェクト作成]
--/-- --:--:--.---|VARIABLE    |NAME=実行スクリプト, VALUE=
--/-- --:--:--.---|INFO        |実行スクリプト(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=AP設定取得エラー, VALUE=true
--/-- --:--:--.---|INFO        |AP設定取得エラー(String) 入力=[true]
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットIN, VALUE=bm-s3-datahub-if-prod
--/-- --:--:--.---|INFO        |S3バケットIN(String) 入力=[bm-s3-datahub-if-prod]
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダIN, VALUE=/WE0301
--/-- --:--:--.---|INFO        |S3フォルダIN(String) 入力=[/WE0301]
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットOUT, VALUE=bm-s3-datahub-save-prod
--/-- --:--:--.---|INFO        |S3バケットOUT(String) 入力=[bm-s3-datahub-save-prod]
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダOUT, VALUE=
--/-- --:--:--.---|INFO        |S3フォルダOUT(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=DSCフォルダ, VALUE=
--/-- --:--:--.---|INFO        |DSCフォルダ(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0301/BACKUP
--/-- --:--:--.---|INFO        |バックアップフォルダパス(String) 入力=[/data/MERGE/app/data/WE0301/BACKUP]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0301/ERROR
--/-- --:--:--.---|INFO        |エラーフォルダパス(String) 入力=[/data/MERGE/app/data/WE0301/ERROR]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名称（フィルター）1, VALUE=K01OUT01\d{8}[1-3]
--/-- --:--:--.---|INFO        |ファイル名称（フィルター）1(String) 入力=[K01OUT01\d{8}[1-3]]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名称（フィルター）2, VALUE=K01OUT03\d{8}[1-3]
--/-- --:--:--.---|INFO        |ファイル名称（フィルター）2(String) 入力=[K01OUT03\d{8}[1-3]]
--/-- --:--:--.---|VARIABLE    |NAME=運用日付判定(時), VALUE=00
--/-- --:--:--.---|INFO        |運用日付判定(時)(String) 入力=[00]
--/-- --:--:--.---|VARIABLE    |NAME=運用日付判定(分), VALUE=00
--/-- --:--:--.---|INFO        |運用日付判定(分)(String) 入力=[00]
--/-- --:--:--.---|VARIABLE    |NAME=予備１, VALUE=
--/-- --:--:--.---|INFO        |予備１(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備２, VALUE=
--/-- --:--:--.---|INFO        |予備２(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備３, VALUE=
--/-- --:--:--.---|INFO        |予備３(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備４, VALUE=
--/-- --:--:--.---|INFO        |予備４(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備５, VALUE=
--/-- --:--:--.---|INFO        |予備５(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備６, VALUE=
--/-- --:--:--.---|INFO        |予備６(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備７, VALUE=
--/-- --:--:--.---|INFO        |予備７(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備８, VALUE=
--/-- --:--:--.---|INFO        |予備８(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備９, VALUE=
--/-- --:--:--.---|INFO        |予備９(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=予備１０, VALUE=
--/-- --:--:--.---|INFO        |予備１０(String) 入力=[]
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダ名, VALUE=20241016113500_jq0000mvvv000980e461pjhkp55e_backup
--/-- --:--:--.---|INFO        |バックアップフォルダ名(String) 入力=[20241016113500_jq0000mvvv000980e461pjhkp55e_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダ名, VALUE=20241016113500_jq0000mvvv000980e461pjhkp55e_error
--/-- --:--:--.---|INFO        |エラーフォルダ名(String) 入力=[20241016113500_jq0000mvvv000980e461pjhkp55e_error]
--/-- --:--:--.---|VARIABLE    |NAME=実行日時, VALUE=1729089300126
--/-- --:--:--.---|INFO        |実行日時(Date) 入力=[2024-10-16T23:35:00.126+0900]
10/16 23:35:00.126|END         |
10/16 23:35:00.126|BRANCH_START|NAME=if_1
--/-- --:--:--.---|EVALUATION  |NAME=AP設定エラー, RESULT=false
10/16 23:35:00.126|BRANCH_END  |
10/16 23:35:00.126|START       |NAME=フォルダ作成 
